product_guid,title,price_mean,price_std,price_confidence,core_material_score,core_material_conf,availability_score,availability_conf,warranty_mean,warranty_std,warranty_conf,reviewer_opinion_score,reviewer_opinion_conf,board_weight_mean,board_weight_std,board_weight_conf,carving_score,carving_conf,powder_mean,powder_std,powder_conf,edge_hold_score,edge_hold_conf,chatter_score,chatter_conf,positive_aspect_score,positive_aspect_conf,negative_aspect_score,negative_aspect_conf,return_policy_score,return_policy_conf,jibbing_score,jibbing_conf,overall_rating_mean,overall_rating_std,overall_rating_conf,speed_score,speed_conf,jumps_score,jumps_conf,pipe_score,pipe_conf,flex_rating_mean,flex_rating_std,flex_rating_conf,sidecut_radius_mean,sidecut_radius_std,sidecut_radius_conf,sidecut_radius_159_mean,sidecut_radius_159_std,sidecut_radius_159_conf,effective_edge_mean,effective_edge_std,effective_edge_conf,waist_width_mean,waist_width_std,waist_width_conf,setback_mean,setback_std,setback_conf,taper_mean,taper_std,taper_conf,stance_width_mean,stance_width_std,stance_width_conf,contact_length_mean,contact_length_std,contact_length_conf,tip_tail_width_mean,tip_tail_width_std,tip_tail_width_conf,tip_tail_width_159_mean,tip_tail_width_159_std,tip_tail_width_159_conf,recommended_weight_mean,recommended_weight_std,recommended_weight_conf,recommended_weight_159_mean,recommended_weight_159_std,recommended_weight_159_conf,turn_initiation_mean,turn_initiation_std,turn_initiation_conf,camber_profile_score,camber_profile_conf,terrain_suitability_mean,terrain_suitability_std,terrain_suitability_conf,on_snow_feel_score,on_snow_feel_conf,board_category_score,board_category_conf,comparable_board,camber_profile,base_material,terrain_suitability,topsheet,board_designer,manufacturing_location,board_category,shape,laminate,model_year,sustainability_certification,construction_material_innovation,sidewall_material,edge_technology,sidecut_type,binding_compatibility,predecessor_model_name,rider_level,brand,gender,mounting_pattern,product_type
0AYEov1dlY,Salomon_SAS HPS_Louif_Paradis,569.99,115,0.99,0.8,0.8,0.7,0.7,2.13,0.85,0.2,0.75,0.7,2882,1153,0.2,0.5,0.01,6,2.42,0.2,0.75,0.6,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,6,0.69,0.88,8,3.03,0.2,8,3.11,0.2,118,3,0.88,26,1,0.88,20,7,0.95,0,3,0.9,55,22,0.2,113,45,0.2,30,1,0.88,30,1,0.8,78,5,0.88,85,5,0.8,3,1.26,0.2,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,YES_PYL_Jones_Hovercraft_Rome_Ravine_Arbor_Clovis_Lago_Open_Road,,Sintered_EG,,ABC_Wrapper_bamboo_veneers_40pct_less_fiberglass_resin,Louif_Paradis,,,Tapered_Directional,BA_MD_Glass_biaxial_medium_density_fiberglass,2024.0,FSC_certified_woodcore,Bamboo_veneers_add_liveliness_explosive_pop,Recycled_ABS_Sidewalls,All_Mountain_Edge_Bevel,Quadralizer,Standard_4x4_and_2x4_compatible,Annie_Boulanger_HPS_and_Takaharu_Nakai_HPS,Expert,Salomon,Unisex,2x4_Inserts,Snowboard
0WO90RPV8Y,Burton_Snowboards_Burlington_VT Cartographer,947.4939768339766,379,0.2,0.9,0.9,0.6,0.7,3.0,0.49,0.8,0.6,0.98,2882,1153,0.2,0.85,0.98,7,0.98,0.8,0.5,0.7,0.5,0.01,0.8,0.7,0.7,0.8,0.5,0.01,0.5,0.8,84,34,0.2,0.7,0.8,0.8,0.8,0.7,0.8,6,0.48,0.94,7,0.38,0.99,7,0.35,0.99,114,2,1.0,26,0,0.99,2,7,0.99,5,3,0.85,53,2,0.99,113,45,0.2,30,1,0.99,30,1,0.8,68,3,0.99,80,5,0.8,3,0.69,0.8,0.5,0.01,9,3.59,0.2,0.8,0.8,0.5,0.01,Jones_Frontier_quiver_of_one_6_10_flex_directional,,Sintered_WFO,,Picasso_to_OKeeffe_deep_lines_abstract_imagery,Vermont_artist_Julio_Desmont,China,,Directional,Triax_Fiberglass,2026,Certified_B_Corporation,None_standard_Triax_only_no_carbon,,,,Compatible_all_major_brands_best_with_Burton_EST,,Advanced_to_Expert,Burton,Unisex,The_Channel,Snowboard
0bszvf1jUz,Rome_Snowboards_SDS Rene,949.99,272,0.71,0.65,0.71,0.5,0.7,2.13,0.85,0.2,0.5,0.01,2882,1153,0.2,0.5,0.01,6,2.42,0.2,0.75,0.7,0.5,0.01,0.5,0.01,0.6,0.7,0.75,0.8,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,7,1.07,0.71,8,0.89,0.71,8,0.83,0.71,122,4,0.71,26,1,0.71,0,17,0.71,0,5,0.71,53,6,0.71,113,45,0.2,30,12,0.2,30,12,0.2,75,8,0.71,81,7,0.71,3,1.26,0.2,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,Indoor_Survival_Shadowban_Nitro_Team_Yes_Typo_Frontier,,SinterStrong_Base,,,Rene_Rinnekangas,,,Directional_Twin,Triax_Glass,2027,,Directional_Triple_Bamboo_Omega_HotRods,Twin_Flax_Walls_predecessor,,Radial_Sidecut,Not_suitable_Burton_EST_3D,Rome_Rene_Gade,Intermediate_Advanced,Rome,Mens,2x4_Inserts,Snowboard
0veqI4FzRH,Burton_Snowboards_founded_1977_Vermont Process_Flying_V,615.99,115,1.0,0.9,0.9,0.8,0.7,3.0,0.49,0.8,0.5,0.01,2600,724,0.6,0.5,0.01,6,2.42,0.2,0.55,0.7,0.8,0.8,0.7,0.8,0.6,0.8,0.5,0.01,0.5,0.01,84,5,0.98,0.5,0.3,0.5,0.01,0.1,0.7,4,0.96,0.76,8,0.44,0.93,8,0.41,0.93,120,2,0.94,25,0,0.98,12,7,0.95,5,2,0.2,53,7,0.6,113,45,0.2,29,1,0.93,30,1,0.93,68,3,0.99,80,5,0.8,3,0.84,0.7,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,CAPiTA_DOA_true_twin_hybrid_camber_stiffer,,Sintered_durable_porous,,Panda_graphic_glows_in_dark,Mark_McMorris,,,Twin_symmetrical_tip_to_tail,Triax_triaxial_fiberglass,2025,FSC_certified_core_and_Super_Sap_bio_epoxy,Squeezebox_variable_thickness_core,,Frostbite_Edges_extended_under_bindings,Single_radius_sidecut,Channel_all_major_brands_best_with_EST,,Intermediate,Burton,Mens,The_Channel_all_major_bindings_best_with_EST,Snowboard
0vy5ZEFcFU,CAPiTA_by_C3_Worldwide_manufactured_Core_Srl Aeronaut,1249.99,122,0.94,0.9,0.8,0.9,0.9,2.0,0.25,1.0,0.7,0.8,2882,1153,0.2,0.85,0.98,6,0.98,0.8,0.5,0.7,0.5,0.01,0.65,0.6,0.5,0.8,0.5,0.01,0.5,0.8,84,34,0.2,0.7,0.8,0.8,0.8,0.7,0.8,6,0.45,1.0,8,0.9,0.7,8,3.11,0.2,122,2,1.0,25,0,1.0,2,7,1.0,0,2,1.0,56,2,1.0,113,45,0.2,30,1,1.0,30,12,0.2,74,3,1.0,78,5,0.8,4,0.84,0.7,0.5,0.01,9,3.59,0.2,0.8,0.8,0.5,0.01,Jones_Stratos,,HyperDrive_ADV_XT_premium_sintered_extra_thick,,PLT_metallic_screen_PAM16000_solventless_UV_ink,Arthur_Longo,Austria_MotherShip_Feistritz,,Tapered_Directional_20mm_setback,Holysheet_Tri_Bi_triax_above_biax_below,2027,Certified_B_Corp_score_98_9,3x25mm_CarbonFlax_Amplifier_flax_carbon_weave,,,Progressive,,,Advanced_Expert,CAPiTA,Mens,2x4_inserts,Snowboard
0wlvcYbEX2, Mountain_Twin_Pro,1199.99,115,0.95,0.8,0.8,0.5,0.01,2.13,0.85,0.2,0.75,0.7,2882,1153,0.2,0.5,0.01,6,2.42,0.2,0.95,0.84,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.7,0.4,0.6,84,34,0.2,0.5,0.01,0.8,0.7,0.5,0.01,8,0.66,0.89,8,0.47,0.92,8,0.35,0.99,121,2,0.99,25,0,0.92,0,9,0.92,0,2,0.99,58,3,0.92,113,45,0.2,30,1,0.92,30,1,0.87,70,4,0.92,70,5,0.8,4,0.97,0.6,0.5,0.01,9,0.56,0.92,0.5,0.01,0.5,0.01,Korua_Otto_K2_Manifest_Yes_Typo_Ride_Algorythm_etc,,UHMWPE_Carbon_50pct_recycled,9.0,Ash_veneer,,SWS_Dubai_UAE,,Directional_Twin_Medium_3D_Contour_Base,Basalt_Pro_Layup_full_basalt,2027,27pct_plant_based_carbon_33pct_less_CO2,Forever_Flex_overbuilt_then_broken_in,Recycled_ABS_round_finish,Traction_Tech,Progressive_Sidecut,Union_Force_or_Jones_Meteorite,Jones_Ultra_Mountain_Twin,Advanced_Expert,Jones_Snowboards,Mens,2x4_Inserts,Snowboard
1D2Fxhz6Eo,Mervin_Manufacturing Facts,699.99,115,0.99,0.7,0.6,0.4,0.5,1.0,0.25,1.0,0.5,0.01,2882,1153,0.2,0.5,0.01,6,2.42,0.2,0.95,0.8,0.1,0.55,0.5,0.01,0.5,0.01,1.0,0.83,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,5,0.45,0.96,8,0.38,0.99,8,0.35,0.99,119,47,0.2,25,0,0.99,1,7,0.99,5,2,0.2,55,6,0.7,119,3,0.99,30,1,0.99,30,1,0.8,65,9,0.6,75,8,0.6,2,0.84,0.7,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,Burton_Cultivator,,Extruded_Eco_Knife_Cut_Co-Ex,,Eco_Sublimated_Poly_Topsheet,Sam_Davidson_Anti_Hero,Sequim_Carlsborg_Washington_USA,,Directional_Twin,Tri-Ax_Bi-Ax_Fiber_alloy_glass,2025-2026,FSC_certified_core_wood,,UHMW_Polyethylene,Magne-Traction_7_serrations,,Standard_2x4_all_major_binding_brands,,Beginner-Intermediate,GNU,Mens,2x4_Inserts,Snowboard
1JvX9FmL2G,Rossignol_Skis_Rossignol_SA District,299.99,115,0.97,0.5,0.3,0.75,0.6,1.0,0.44,0.84,0.5,0.01,2800,260,0.99,0.5,0.01,6,2.42,0.2,0.4,0.8,0.5,0.01,0.6,0.7,0.6,0.8,0.5,0.01,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,5,0.45,0.96,8,0.38,0.99,8,0.44,0.92,117,2,0.95,25,0,0.95,0,7,1.0,5,2,0.2,58,5,0.8,113,45,0.2,29,1,0.8,30,1,0.8,72,3,0.95,92,8,0.6,2,0.84,0.7,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,K2_Standard_similar_rocker_soft_twin_beginner,,4400_Extruded,,Silkscreened_graphics,,,,True_Twin,Glass_Fiber,2020,FSC_Certified_wood_core,None_not_listed_entry_level_board,ABS,,Deep_progressive,Standard_4x4_insert_compatible_with_most_bindings,,Beginner_to_Intermediate,Rossignol,Mens,4x4_insert_pattern,Snowboard
1VrBAwE1ov,Nidecker_SA_Rolle_Switzerland The_Gun,1099.99,237,0.78,0.7,0.78,1.0,0.52,2.0,0.49,0.8,0.8,0.8,2882,1153,0.2,0.5,0.01,6,2.42,0.2,0.5,0.01,0.5,0.01,0.5,0.01,0.7,0.76,0.65,0.7,0.5,0.01,84,34,0.2,0.5,0.01,0.5,0.01,0.5,0.01,8,0.93,0.78,10,0.38,0.96,8,3.11,0.2,119,47,0.2,26,10,0.2,35,7,0.95,8,5,0.66,52,7,0.55,108,8,0.66,29,2,0.55,30,12,0.2,85,9,0.6,80,32,0.2,3,1.26,0.2,0.5,0.01,9,3.59,0.2,0.5,0.01,0.5,0.01,Korua_Cafe_Pencil,,N_9000_Sintered,,Absorbnid_Topsheet,Mike_Basich,,,Tapered_Directional,Triax_Plus,2027,1pct_of_sales_to_environmental_initiatives,Pop_Carbon_Plus_nose_to_tail,Slim_ABS_sidewall,,Single_radius_10m,Works_with_any_binding,,Advanced,Nidecker,Unisex,2x4_Inserts,Snowboard
1dpFmvUwSW,Mervin_Manufacturing Gremlin,969.99,115,1.0,0.75,0.6,0.85,0.8,1.0,0.25,0.96,0.7,0.8,2800,724,0.6,0.9,0.8,7,0.98,0.8,0.9,0.9,0.5,0.01,0.85,0.8,0.5,0.8,0.5,0.01,0.5,0.8,84,34,0.2,0.7,0.8,0.7,0.8,0.5,0.01,6,0.45,0.98,8,3.03,0.2,8,3.11,0.2,119,47,0.2,26,10,0.2,2,7,1.0,12,2,0.99,55,22,0.2,113,45,0.2,30,12,0.2,30,12,0.2,73,29,0.2,80,32,0.2,4,0.69,0.8,0.5,0.01,9,3.59,0.2,0.82,0.7,0.5,0.01,Lib_Tech_Orca_Jones_Hovercraft_Endeavor_Scout_etc,,Fast_sintered_die_cut_to_reduce_waste,,Eco_Sublimated_Poly_Texture_Topsheet,Gnu_Gift_Shop,Handbuilt_USA_Sequim_Washington,,Tapered_Directional,Triaxial_Biaxial_Fiberglass,2026,Zero_hazardous_waste_manufacturing,,UHMW_Polyethylene,Magne_Traction,,Bent_Metal_Axtion_matching_teal_2026,,Advanced_to_Expert,GNU,Mens,2x4_Inserts,Snowboard
