product_guid,manufacturer,model_name,camber_profile,camber_profile_confidence,camber_profile_posterior,core_material,core_material_confidence,core_material_posterior,price,price_confidence,price_posterior,availability,availability_confidence,availability_posterior,comparable_board,comparable_board_confidence,comparable_board_posterior,base_material,base_material_confidence,base_material_posterior,recommended_weight_range,recommended_weight_range_confidence,recommended_weight_range_posterior,flex_rating,flex_rating_confidence,flex_rating_posterior,model_first_available_year,model_first_available_year_confidence,model_first_available_year_posterior,tip_tail_width,tip_tail_width_confidence,tip_tail_width_posterior,sidecut_radius,sidecut_radius_confidence,sidecut_radius_posterior,rider_level,rider_level_confidence,rider_level_posterior,warranty,warranty_confidence,warranty_posterior,reviewer_opinion,reviewer_opinion_confidence,reviewer_opinion_posterior,topsheet,topsheet_confidence,topsheet_posterior,board_designer,board_designer_confidence,board_designer_posterior,board_weight,board_weight_confidence,board_weight_posterior,manufacturing_location,manufacturing_location_confidence,manufacturing_location_posterior,carving_rating,carving_rating_confidence,carving_rating_posterior,powder_rating,powder_rating_confidence,powder_rating_posterior,waist_width_at_156,waist_width_at_156_confidence,waist_width_at_156_posterior,recommended_weight_at_159,recommended_weight_at_159_confidence,recommended_weight_at_159_posterior,effective_edge,effective_edge_confidence,effective_edge_posterior,sidecut_radius_at_159,sidecut_radius_at_159_confidence,sidecut_radius_at_159_posterior,tip_tail_width_at_159,tip_tail_width_at_159_confidence,tip_tail_width_at_159_posterior,board_category,board_category_confidence,board_category_posterior,brand,brand_confidence,brand_posterior,mounting_pattern,mounting_pattern_confidence,mounting_pattern_posterior,shape,shape_confidence,shape_posterior,available_sizes,available_sizes_confidence,available_sizes_posterior,model_year,model_year_confidence,model_year_posterior,gender,gender_confidence,gender_posterior,laminate,laminate_confidence,laminate_posterior,product_type,product_type_confidence,product_type_posterior,terrain_suitability,terrain_suitability_confidence,terrain_suitability_posterior,setback,setback_confidence,setback_posterior,negative_aspect,negative_aspect_confidence,negative_aspect_posterior,sustainability_certification,sustainability_certification_confidence,sustainability_certification_posterior,stance_width_range_size,stance_width_range_size_confidence,stance_width_range_size_posterior,edge_hold,edge_hold_confidence,edge_hold_posterior,construction_material_innovation,construction_material_innovation_confidence,construction_material_innovation_posterior,sidewall_material,sidewall_material_confidence,sidewall_material_posterior,positive_aspect,positive_aspect_confidence,positive_aspect_posterior,edge_technology,edge_technology_confidence,edge_technology_posterior,turn_initiation_performance,turn_initiation_performance_confidence,turn_initiation_performance_posterior,sidecut_type,sidecut_type_confidence,sidecut_type_posterior,taper,taper_confidence,taper_posterior,binding_compatibility,binding_compatibility_confidence,binding_compatibility_posterior,chatter_performance,chatter_performance_confidence,chatter_performance_posterior,predecessor_model_name,predecessor_model_name_confidence,predecessor_model_name_posterior,contact_length_size,contact_length_size_confidence,contact_length_size_posterior,return_policy_terms,return_policy_terms_confidence,return_policy_terms_posterior,jibbing_rating_tgr,jibbing_rating_tgr_confidence,jibbing_rating_tgr_posterior,overall_rating_snowboardingprofiles,overall_rating_snowboardingprofiles_confidence,overall_rating_snowboardingprofiles_posterior,speed_rating_tgr,speed_rating_tgr_confidence,speed_rating_tgr_posterior,jumps_rating_tgr,jumps_rating_tgr_confidence,jumps_rating_tgr_posterior,on_snow_feel_tgr,on_snow_feel_tgr_confidence,on_snow_feel_tgr_posterior,pipe_rating_tgr,pipe_rating_tgr_confidence,pipe_rating_tgr_posterior
0AYEov1dlY,Salomon_SAS,HPS_Louif_Paradis,Rock_Out_Camber,0.6662,Rock_Out_Camber:0.6662|Powder_Camber:0.3338,Ghost_Green_Core_Paulownia_super_light,0.9974,,569.99,0.9932,,Available_155_159_163cm,0.8800,,YES_PYL_Jones_Hovercraft_Rome_Ravine_Arbor_Clovis_Lago_Open_Road,0.6442,,Sintered_EG,0.8800,,60_95kg,0.8800,,Medium,0.8788,Medium:0.8788|Stiff:0.1053|Soft:0.0160,2021.0,0.9777,,Nose_302mm_Tail_297mm,0.8800,,,,,Expert,0.9488,Expert:0.9488|Intermediate_Advanced:0.0512,,,,Proof_not_all_powder_boards_have_to_be_pointy,0.9777,,ABC_Wrapper_bamboo_veneers_40pct_less_fiberglass_resin,0.9974,,Louif_Paradis,0.9984,,,,,,,,,,,,,,255.0,0.8800,,70_100kg,0.8800,,1180.0,0.8800,,,,,Nose_307mm_Tail_302mm,0.8800,,All_Mountain_Freeride,0.9865,,Salomon,0.9974,,2x4_Inserts,0.8800,,Tapered_Directional,0.9525,,155cm_159cm_163cm,0.9854,,2024.0,0.8571,2024.0:0.8571|2025.0:0.1429,Unisex,0.9948,,BA_MD_Glass_biaxial_medium_density_fiberglass,0.9536,,Snowboard,0.9984,,Deep_terrain_powder_freeride_freestyle,0.5331,Deep_terrain_powder_freeride_freestyle:0.5331|Deep_powder_off_piste_backcountry_versatile_groomers:0.4669,20.0,0.9500,,,,,FSC_certified_woodcore,0.9577,,,,,Solid_Quadralizer_sidecut_AM_edge_bevel_reliable,0.8231,,Bamboo_veneers_add_liveliness_explosive_pop,0.6423,,Recycled_ABS_Sidewalls,0.9536,,,,,All_Mountain_Edge_Bevel,0.8800,,,,,Quadralizer,0.7140,Quadralizer:0.7140|Quadratic_Sidecut:0.2859,Nose_approx_5mm_wider_than_tail,0.9662,,Standard_4x4_and_2x4_compatible,0.7720,,,,,Annie_Boulanger_HPS_and_Takaharu_Nakai_HPS,0.9777,,,,,,,,,,,,,,,,,,,,,,,,,
0WO90RPV8Y,Burton_Snowboards_Burlington_VT,Cartographer,Directional_Camber,0.9914,,FSC_Certified_Super_Fly_800G_Core,0.9569,,,,,Available_Winter_2026,0.9974,,Jones_Frontier_quiver_of_one_6_10_flex_directional,0.9620,,Sintered_WFO,0.9954,,54-82kg,0.9912,,5.5,0.9422,5.5:0.9422|4-7_range:0.0578,2022,0.9479,,30.0/29.5,0.9912,,7.0,0.9912,,Advanced_to_Expert,0.6114,Advanced_to_Expert:0.6114|Intermediate_Advanced:0.3170|Intermediate:0.0715,3_year_warranty_from_purchase,0.9800,,Great,0.9839,,Picasso_to_OKeeffe_deep_lines_abstract_imagery,0.9317,,Vermont_artist_Julio_Desmont,0.9317,,,,,China,0.9997,,Great,0.9839,,Good,0.9839,,25.5,0.9912,,68-91kg,0.9912,,1142.0,0.9963,,7.3,0.9912,,30.5/30.0,0.9912,,All_Mountain_Freeride,0.9954,,Burton,0.9974,,The_Channel,0.9914,,Directional,0.9567,,144_149_154_159_162_154W_159W,0.9931,,2026,0.9974,,Unisex,0.9692,,Triax_Fiberglass,0.9917,Triax_Fiberglass:0.9917|Mystery_Glass:0.0083,Snowboard,0.9974,,Powder_and_all_mountain_riding,0.9692,,-2.5,0.9912,,Edge_hold_behind_some_peers,0.9839,,Certified_B_Corporation,0.9948,,53.0,0.9912,,Medium_Snow,0.9839,,None_standard_Triax_only_no_carbon,0.9018,,,,,Great_pop_fun_turning_rides_switch_well_versatile_quiver,0.9839,,,,,Medium_Fast,0.9839,,,,,5.0,0.8459,5.0:0.8459|15.0:0.1541,Compatible_all_major_brands_best_with_Burton_EST,0.9957,,,,,,,,,,,,,,Average,0.9839,,,,,Good,0.9839,,Great,0.9839,,Semi_Locked_In,0.9839,,Good,0.9839,
0bszvf1jUz,Rome_Snowboards_SDS,Rene,Fusion_Camber,0.9500,,Pop_Core_poplar_paulownia,0.7100,,949.99,0.7100,,Preorder_est_May_2026,0.7100,,Indoor_Survival_Shadowban_Nitro_Team_Yes_Typo_Frontier,0.5263,,SinterStrong_Base,0.7100,,65_85_kg,0.7100,,7.0,0.7100,,2026_27_season,0.7100,,,,,8.2,0.7100,,Intermediate_Advanced,0.7100,,,,,,,,,,,Rene_Rinnekangas,0.9996,,,,,,,,,,,,,,25.5,0.7100,,71_91_kg,0.7100,,122.0,0.7100,,8.4,0.7100,,,,,All_Mountain_Freestyle,0.9948,,Rome,0.9974,,2x4_Inserts,0.7100,,Directional_Twin,0.9500,,153_156_157W_159_160W,0.6308,153_156_157W_159_160W:0.6308|156_157W_159:0.3692,2027,0.7100,,Mens,0.9948,,Triax_Glass,0.9974,,Snowboard,0.7100,,All_Mountain_Freestyle_Park,0.7100,,0.0,0.7100,,Not_playful_slow_speeds_stiff,0.9341,,,,,53.3,0.7100,,Consistently_holds_edge_damp,0.9341,,Directional_Triple_Bamboo_Omega_HotRods,0.7100,,Twin_Flax_Walls_predecessor,0.9726,,,,,,,,,,,Radial_Sidecut,0.9584,,0.0,0.7100,,Not_suitable_Burton_EST_3D,0.6213,,,,,Rome_Rene_Gade,0.9922,,,,,45_day_return,0.9923,,,,,,,,,,,,,,,,,,,
0veqI4FzRH,Burton_Snowboards_founded_1977_Vermont,Process_Flying_V,Flying_V_hybrid_rocker_camber_underfoot,0.9542,,FSC_Super_Fly_II_700G,0.9967,,615.99,0.9974,,Available_2025_and_2026_model_at_549_95,0.9240,,CAPiTA_DOA_true_twin_hybrid_camber_stiffer,0.9980,,Sintered_durable_porous,0.9542,,w54_82kg_p,0.9922,,4.5,0.7633,4.5:0.7633|2.5:0.2367,2011,0.9969,,29.32,0.9301,,7.9,0.9301,,Intermediate,0.9394,,3_year_warranty_from_purchase,0.9382,,,,,Panda_graphic_glows_in_dark,0.9116,,Mark_McMorris,0.8979,,Normal_weight,0.9692,,,,,,,,,,,251.0,0.9800,,w68_91kg_b,0.9922,,1195.0,0.9381,,8.2,0.9301,,29.86,0.9301,,All_Mountain,0.9975,,Burton,0.9975,,The_Channel_all_major_bindings_best_with_EST,0.9542,,Twin_symmetrical_tip_to_tail,0.9542,,152_155_157_159_162_155W_157W_159W_162W,0.9893,,2025,0.9328,,Mens,0.9975,,Triax_triaxial_fiberglass,0.9542,,Snowboard,0.9974,,All_mountain_with_freestyle_flavour,0.9823,,12.5,0.9470,12.5:0.9470|0.0:0.0530,Not_for_aggressive_carvers_speed_chargers_pipe_icy,0.9943,,FSC_certified_core_and_Super_Sap_bio_epoxy,0.9976,,v53_0s,0.9301,,Firm_Medium_Snow_not_amazing_on_ice,0.9955,,Squeezebox_variable_thickness_core,0.9542,,,,,Very_easy_to_butter_and_press_4_of_5,0.9955,,Frostbite_Edges_extended_under_bindings,0.9542,,Medium_fast_effortless_quick_edge_to_edge,0.9800,,Single_radius_sidecut,0.9001,,,,,Channel_all_major_brands_best_with_EST,0.9389,,Handles_bumpy_terrain_well,0.9800,,,,,,,,,,,3.5,0.9800,,83.7,0.9839,,v3_0s,0.9800,,3.5,0.9800,,,,,Weakest_too_soft_edge_hold_insufficient,0.9800,
0vy5ZEFcFU,CAPiTA_by_C3_Worldwide_manufactured_Core_Srl,Aeronaut,Alpine_V3_Directional,0.9957,,Panda_Hover_Paulownia_Poplar_Bamboo_Power_Rods,0.9957,,1249.99,0.9421,,In_stock_multiple_US_EU_retailers,0.9659,,Jones_Stratos,0.8712,,HyperDrive_ADV_XT_premium_sintered_extra_thick,0.9957,,61_88kg,0.9957,,6.0,0.9976,,2024,0.9620,,30.0_29.5,0.9957,,8.5_7.5,0.9957,,Advanced_Expert,0.9839,,Structural_defects_material_workmanship_no_impact_abuse,0.9978,,Recommended_lower_end_weight_better_for_lighter_riders,0.9839,,PLT_metallic_screen_PAM16000_solventless_UV_ink,0.9970,,Arthur_Longo,0.9980,,,,,Austria_MotherShip_Feistritz,0.9998,,Great,0.9839,,Average,0.9839,,25.0,0.9957,,65_92kg,0.9957,,1215.0,0.9957,,,,,,,,All_Mountain_Freeride,0.9976,,CAPiTA,0.9976,,2x4_inserts,0.9607,,Tapered_Directional_20mm_setback,0.9976,,153_155_157_159_161_156W_158W_160W_162W,0.9957,,2027,0.9780,,Mens,0.9780,,Holysheet_Tri_Bi_triax_above_biax_below,0.9977,,Snowboard,0.9976,,,,,2.0,0.9976,,Bucks_in_uneven_soft_snow,0.9839,,Certified_B_Corp_score_98_9,0.9840,,55.9,0.9957,,Medium_Snow,0.9839,,3x25mm_CarbonFlax_Amplifier_flax_carbon_weave,0.9981,,,,,Pops_Super_Well_On_Ollie,0.9839,,,,,Fast,0.9839,,Progressive,0.9957,,0.5,0.9957,,,,,,,,,,,,,,,,,Average,0.9839,,,,,Good,0.9839,,Great,0.9839,,Semi_Locked_In,0.9839,,Good,0.9839,
0wlvcYbEX2,,Mountain_Twin_Pro,CamRock,0.9908,,Boost_Core_Bamboo_Paulownia_Poplar,0.8866,Boost_Core_Bamboo_Paulownia_Poplar:0.8866|Ultra_Core_Paulownia_Poplar:0.1134,1199.99,0.9531,,,,,Korua_Otto_K2_Manifest_Yes_Typo_Ride_Algorythm_etc,0.9219,,UHMWPE_Carbon_50pct_recycled,0.9526,,59-82kg,0.9186,,8.0,0.8894,8.0:0.8894|7.0:0.1106,2025,0.9140,,301.0,0.9186,,7.7,0.9186,,Advanced_Expert,0.9954,,,,,Same_shape_camber_as_UMT_lighter_poppier,0.9341,,Ash_veneer,0.9186,,,,,,,,SWS_Dubai_UAE,0.9840,,,,,,,,254.0,0.9186,,59-82kg,0.9186,,1210.0,0.9907,,7.8,0.9907,,296.0,0.8702,296.0:0.8702|301.0:0.1298,All_Mountain,0.9186,,Jones_Snowboards,0.9186,,2x4_Inserts,0.9186,,Directional_Twin_Medium_3D_Contour_Base,0.9186,,154cm_157cm_156W_159W,0.9186,,2027,0.9186,,Mens,0.9771,,Basalt_Pro_Layup_full_basalt,0.9186,,Snowboard,0.9186,,9.0,0.9186,,0.0,0.9186,,,,,27pct_plant_based_carbon_33pct_less_CO2,0.6406,,580.0,0.9186,,Incredible,0.8358,,Forever_Flex_overbuilt_then_broken_in,0.9186,,Recycled_ABS_round_finish,0.9954,,,,,Traction_Tech,0.8700,Traction_Tech:0.8700|High_Traction_Tech:0.1300,Medium_fast_bordering_medium,0.9449,,Progressive_Sidecut,0.7253,,0.0,0.9907,,Union_Force_or_Jones_Meteorite,0.8358,,,,,Jones_Ultra_Mountain_Twin,0.9346,,,,,30_days_new_unused_buyer_covers_return,0.9726,,Not_ideal_for_jibs_okay_for_pipe,0.9449,,,,,,,,Very_good_choice_big_kickers,0.9449,,,,,,,
1D2Fxhz6Eo,Mervin_Manufacturing,Facts,OB_Original_Banana_BTX_Hybrid,0.9986,,G_Lite_1_Core,0.9535,,699.99,0.9931,,Not_stocked_at_Tactics,0.9032,,Burton_Cultivator,0.8609,,Extruded_Eco_Knife_Cut_Co-Ex,0.5506,Extruded_Eco_Knife_Cut_Co-Ex:0.5506|Sintered_Knife_Cut_Co-Ex:0.4494,110+lbs_50+kg,0.9948,,5.0,0.9586,5.0:0.9586|4.0:0.0414,New_for_2026,0.7561,,29.8/29.8,0.9948,,8.2,0.9948,,Beginner-Intermediate,0.9541,,Defects_in_materials_and_workmanship,0.9999,,,,,Eco_Sublimated_Poly_Topsheet,0.9973,,Sam_Davidson_Anti_Hero,0.9569,,,,,Sequim_Carlsborg_Washington_USA,0.9994,,,,,,,,25.4,0.9948,,130+lbs_60+kg,0.9948,,,,,8.3,0.9948,,30.2/30.2,0.9948,,Freestyle-All_Mountain,0.9535,,GNU,0.9978,,2x4_Inserts,0.9001,,Directional_Twin,0.9986,,147_150_153_156_159_156W_159W_162W,0.9974,,2025-2026,0.9707,2025-2026:0.9707|2027_Southern_Hemisphere:0.0244,Mens,0.9847,,Tri-Ax_Bi-Ax_Fiber_alloy_glass,0.8802,,Snowboard,0.9985,,Resort_freestyle_all_mountain,0.9994,,0.75,0.9948,,,,,FSC_certified_core_wood,0.9533,,19.24-24,0.9948,,Serrated_steak_knife_unreal_edge_hold,0.9994,,,,,UHMW_Polyethylene,0.9001,,,,,Magne-Traction_7_serrations,0.9998,,Easy_and_catch_free,0.9942,,,,,,,,Standard_2x4_all_major_binding_brands,0.9001,,Nerve_wracking_at_speed,0.5529,,,,,119.0,0.9948,,Up_to_full_year_return,0.8324,,,,,,,,,,,,,,,,,,,
1JvX9FmL2G,Rossignol_Skis_Rossignol_SA,District,AmpTek_Auto_Turn_Rocker_Camber_Rocker,0.9943,,Wood_5620,0.9459,Wood_5620:0.9459|Wood_6420:0.0541,299.99,0.9742,,Available_Australian_retailer,0.9579,,K2_Standard_similar_rocker_soft_twin_beginner,0.9827,,4400_Extruded,0.9508,4400_Extruded:0.9508|Extruded_4800:0.0492,60_to_85kg,0.9524,,5.0,0.9644,,2011_2012_season,0.8763,,294_250_294mm,0.9524,,7.5,0.9948,,Beginner_to_Intermediate,0.9934,,Defects_in_workmanship_and_materials,0.8414,,,,,Silkscreened_graphics,0.7979,,,,,2800.0,0.9931,,,,,,,,,,,250.0,0.9524,,75_to_100plus_kg,0.9524,,1170.0,0.9524,,7.9,0.9202,7.9:0.9202|7.8:0.0798,297_252_297mm,0.9524,,Freestyle,0.7180,Freestyle:0.7180|All_Mountain:0.2820,Rossignol,0.9956,,4x4_insert_pattern,0.9800,,True_Twin,0.9947,,146_151_155_156W_159_161W,0.9620,,2020,0.9956,,Mens,0.9964,,Glass_Fiber,0.9992,,Snowboard,0.9956,,All_Mountain_Freestyle,0.9579,,0.0,0.9974,,Soft_flex_rocker_reduces_high_speed_stability,0.8530,,FSC_Certified_wood_core,0.9742,,54_to_62cm,0.9948,,Rocker_dominant_reduces_edge_grip_less_suitable_icy,0.8530,,None_not_listed_entry_level_board,0.6667,,ABS,0.9858,,Strong_value_cheapest_beginner_board_reasonable_construction,0.9949,,,,,Effortless_AmpTek_maneuverability,0.9993,,Deep_progressive,0.9037,,,,,Standard_4x4_insert_compatible_with_most_bindings,0.9742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1VrBAwE1ov,Nidecker_SA_Rolle_Switzerland,The_Gun,Surfy_CamRock,0.7801,,Light_Core_Paulownia_Poplar_Beech,0.7801,,1099.99,0.7801,,In_stock,0.5183,In_stock:0.5183|PREORDER:0.4817,Korua_Cafe_Pencil,0.5714,,N_9000_Sintered,0.7801,,75_plus_kg,0.9500,,8.0,0.7801,,,,,290.0,0.5500,290.0:0.5500|298.0:0.4500,10.0,0.9554,,Advanced,0.7801,,2yr_warranty_extendable_to_3yr,0.9902,,Excels_at_huge_fast_turns_hardpack_and_offpiste,0.9499,,Absorbnid_Topsheet,0.7801,,Mike_Basich,0.9777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freeride_Powder,0.7801,,Nidecker,0.9963,,2x4_Inserts,0.7801,,Tapered_Directional,0.7801,,174cm_only,0.7801,,2027,0.7801,,Unisex,0.7801,,Triax_Plus,0.7801,,Snowboard,0.9963,,Big_mountain_steeps_powder_open_faces_groomers,0.9906,,35.0,0.9500,,Not_suitable_for_tight_trees_at_174cm,0.7600,,1pct_of_sales_to_environmental_initiatives,0.9726,,520.0,0.5500,520.0:0.5500|540.0:0.4500,,,,Pop_Carbon_Plus_nose_to_tail,0.7091,Pop_Carbon_Plus_nose_to_tail:0.7091|Pop_Carbon_strategic_placement:0.2909,Slim_ABS_sidewall,0.5527,,,,,,,,,,,Single_radius_10m,0.5914,Single_radius_10m:0.5914|Multi_radius_20_10_15_5m:0.4086,8.0,0.6601,,Works_with_any_binding,0.9853,,,,,,,,1080.0,0.6601,,Return_unused_within_30_days_full_refund,0.9853,,,,,,,,,,,,,,,,,,,
1dpFmvUwSW,Mervin_Manufacturing,Gremlin,C3,0.9985,,G_Lite_2_Core,0.9588,,969.99,0.9974,,In_stock_30pct_off,0.9957,,Lib_Tech_Orca_Jones_Hovercraft_Endeavor_Scout_etc,0.9808,,Fast_sintered_die_cut_to_reduce_waste,0.9937,,,,,6.0,0.9767,6.0:0.9767|7.0:0.0233,2021,0.7065,,,,,,,,Advanced_to_Expert,0.9983,,Structural_defects_only_no_impact_abuse,0.9594,,Good,0.9840,,Eco_Sublimated_Poly_Texture_Topsheet,0.9948,,Gnu_Gift_Shop,0.9957,,Heavier_than_average_for_length_contributes_damping,0.8689,,Handbuilt_USA_Sequim_Washington,0.9994,,Excellent,0.9840,,Good,0.9840,,,,,,,,,,,,,,,,,All_Mountain_Freeride,0.9975,,GNU,0.9984,,2x4_Inserts,0.9948,,Tapered_Directional,0.9975,,144_148_152_155_158_161cm,0.9984,,2026,0.9984,,Mens,0.9140,,Triaxial_Biaxial_Fiberglass,0.9588,,Snowboard,0.9984,,Powder_hardpack_icy_groomers_all_mountain,0.9948,,2.0,0.9957,,Base_glide_below_average_especially_soft_snow,0.9985,,Zero_hazardous_waste_manufacturing,0.9346,,,,,Icy_Snow_top_tier,0.9840,,,,,UHMW_Polyethylene,0.9948,,Exceptional_edge_hold_icy_conditions_MagneTraction_C3,0.9985,,Magne_Traction,0.9985,,Medium,0.9840,,,,,12.0,0.9871,,Bent_Metal_Axtion_matching_teal_2026,0.7790,,,,,,,,,,,,,,Average,0.9840,,,,,Good,0.9840,,Good,0.9840,,Semi_locked_in_tracks_well,0.9840,,,,
