"board_guid","brand","board_name","price_aud","model_year","product_url"
"Xrqyf8xW1D","Salomon","Indicator 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/salomon-indicator"
"iN1MxuYg1d","Salomon","Huck Knife Pro S/Lab Equipe","1149.99","","https://www.melbournesnowboard.com.au/products/salomon-huck-knife-pro-s-lab-equipe"
"5ATjvbt8NS","Korua Shapes","Otto Brushed","999.99","","https://www.melbournesnowboard.com.au/products/korua-shapes-otto-brushed"
"1VrBAwE1ov","Nidecker","The Gun 2027","1099.99","2027","https://www.melbournesnowboard.com.au/products/nidecker-the-gun"
"6c05alvB2T","Nidecker","Tape Deck 2027","799.99","2027","https://www.melbournesnowboard.com.au/products/nidecker-tape-deck"
"K4BocAbogb","Nidecker","Sensor Pro 2027","899.99","2027","https://www.melbournesnowboard.com.au/products/nidecker-sensor-pro"
"kW6Qaiptnt","Nidecker","Megalight 2027","1349.99","2027","https://www.melbournesnowboard.com.au/products/nidecker-megalight"
"oa21GQ68wW","K2","Afterblack 2027","879.99","2027","https://www.melbournesnowboard.com.au/products/k2-afterblack"
"sNXo66BiQz","Rome","Warden 2027","829.99","2027","https://www.melbournesnowboard.com.au/products/rome-warden"
"34xl4zXkIS","Rome","Mens Viper 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/rome-mens-viper"
"lUy9sQQlyI","Rome","Mens Ravine 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/rome-mens-ravine"
"0bszvf1jUz","Rome","Rene 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/rome-rene"
"Pze4R5DtmS","Rome","Artifact 2027","849.99","2027","https://www.melbournesnowboard.com.au/products/rome-artifact"
"M6QYHtT461","Rome","Boneless 2027","899.99","2027","https://www.melbournesnowboard.com.au/products/rome-boneless"
"J0feyXOlNL","Rome","Agent 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/rome-agent"
"cRYhKd71A7","Rome","Agent Pro 2027","1129.99","2027","https://www.melbournesnowboard.com.au/products/rome-agent-pro"
"68pyZWjp7O","Rome","Artifact Pro 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/rome-artifact-pro"
"vVNaChfgSD","Rome","Stale Crewzer 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/rome-stale-crewzer"
"FfsQXy5GNw","Rome","Stale Fish 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/rome-stale-fish"
"KJWWonfftq","Burton","Fish 3D Splitboard 2026","1119.99","2026","https://www.melbournesnowboard.com.au/products/burton-fish-3d-splitboard-2026"
"hWiSldGBqx","Burton","Fish 3D Splitboard 2024","839.99","2024","https://www.melbournesnowboard.com.au/products/burton-fish-3d-splitboard-2024"
"cVAb0LOBkf","Bataleon","Mens Disaster 2027","839.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-disaster-2027"
"eoq4Dj1tuM","Bataleon","Disaster + 2027","1039.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-disaster-plus-2027"
"NqInYDuKpj","Bataleon","Mens Stereo 2027","939.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-mens-stereo"
"iY29iJwupu","Bataleon","Stereo Team 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-stereo-team"
"kjVPKOzhx7","Bataleon","Evil Twin 2027","999.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-evil-twin-2027"
"RVjoANFEjw","Bataleon","Evil Twin + 2027","1189.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-evil-twin-plus-2027"
"0WEnLwqBlF","Bataleon","Fun.Kink 2027","839.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-fun-kink-2027"
"qSB6gSCS0V","Bataleon","Placebo 2027","959.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-placebo"
"YngwBvpjlV","Bataleon","Whatever 2027","949.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-whatever-2027"
"cGQS0loLxm","Bataleon","Goliath 2027","1079.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-goliath-2027"
"Vz2522zK3z","Bataleon","Tornado Beyond Medals 2027","1049.99","2027","https://www.melbournesnowboard.com.au/products/bataleon-beyond-medals-2027"
